Row_ID,Order_ID,Order_Date,Ship_Date,Customer_Name,Segment,City,Category,Product_Name,Sales,Quantity,Discount,Profit
1,ORD00001,29-10-2024,05-11-2024,Karina Gibson,Corporate,Mumbai,Fashion,Beyond Grocery,7303.9,2,0.35,-470.16
2,ORD00002,19-07-2025,20-07-2025,Curtis Chen,Consumer,Mumbai,Grocery,Find Furniture,3434.97,3,0.13,-236.44
3,ORD00003,02-05-2026,09-05-2026,Carolyn Rice,Home Office,Bangalore,Grocery,Environment Beauty,6976.93,6,0.11,2278.63
4,ORD00004,19-11-2024,20-11-2024,Erica Washington,Consumer,Mumbai,Fashion,Relate Fashion,4873.33,6,0.45,802.78
5,ORD00005,26-09-2025,30-09-2025,Alexis Estrada,Home Office,Delhi,Furniture,Push Furniture,6029.57,3,0.4,85.03
6,ORD00006,17-08-2024,23-08-2024,Jasmin Valencia,Home Office,Hyderabad,Grocery,Another Furniture,8169.01,6,0.39,1815.78
7,ORD00007,21-01-2025,27-01-2025,Brandon Avila,Corporate,Mumbai,Fashion,Center Fashion,1006.89,9,0.21,240.83
8,ORD00008,07-10-2024,14-10-2024,Gary Perez,Corporate,Hyderabad,Furniture,Difficult Fashion,9303.64,10,0.21,2586.77
9,ORD00009,28-12-2025,04-01-2026,Jason Burton,Consumer,Delhi,Beauty,Research Furniture,9417.53,4,0.05,2391.6
10,ORD00010,27-05-2024,01-06-2024,Daniel Shepherd,Home Office,Chennai,Furniture,Study Electronics,7684.37,6,0.07,-1322.23
11,ORD00011,10-02-2026,14-02-2026,Dr. Hector White,Corporate,Mumbai,Grocery,Set Grocery,300.34,9,0.47,24.15
12,ORD00012,09-08-2024,13-08-2024,Danielle Wilkinson,Corporate,Chennai,Fashion,This Furniture,5258.16,10,0.09,1244.98
13,ORD00013,17-04-2025,21-04-2025,Jessica Thomas,Consumer,Delhi,Grocery,Sport Beauty,4480.43,8,0.16,-530.5
14,ORD00014,21-05-2024,23-05-2024,Justin Sullivan,Corporate,Pune,Fashion,Pick Fashion,4744.6,9,0.03,442.65
15,ORD00015,06-04-2025,12-04-2025,Ms. Veronica Bailey,Home Office,Mumbai,Beauty,Woman Furniture,302.77,10,0.49,76.02
16,ORD00016,02-11-2025,05-11-2025,Janet Lee,Home Office,Hyderabad,Beauty,When Furniture,880.29,10,0.03,179.65
17,ORD00017,31-03-2026,04-04-2026,Andrew Jenkins,Corporate,Delhi,Fashion,Help Electronics,2402.65,4,0.28,655.13
18,ORD00018,18-04-2025,19-04-2025,Laura Trujillo,Consumer,Bangalore,Beauty,Congress Grocery,8949.87,3,0.29,943.76
19,ORD00019,18-10-2024,21-10-2024,Brianna Ayala,Corporate,Delhi,Beauty,Possible Electronics,2835.26,2,0.13,-443.79
20,ORD00020,06-08-2024,10-08-2024,Gregory Howard,Corporate,Chennai,Furniture,Fish Electronics,6401.36,7,0.37,-493.5
21,ORD00021,25-03-2026,27-03-2026,Ashley Young,Corporate,Chennai,Fashion,Product Grocery,4133.16,6,0.24,938.07
22,ORD00022,03-04-2026,10-04-2026,Kelly Brown,Corporate,Chennai,Grocery,Half Furniture,7291.99,10,0.33,138
23,ORD00023,06-11-2024,11-11-2024,Mrs. Aimee Howard,Consumer,Pune,Beauty,Ready Electronics,911.21,5,0,21.31
24,ORD00024,30-12-2025,05-01-2026,Monica Harrison,Consumer,Pune,Beauty,Century Beauty,2682.41,8,0.31,282.32
25,ORD00025,09-01-2026,16-01-2026,Angela Wong,Consumer,Mumbai,Furniture,Number Grocery,9056.32,5,0.36,-258.62
26,ORD00026,05-05-2026,11-05-2026,Christina Shaw DVM,Corporate,Hyderabad,Fashion,Both Furniture,1691.05,10,0.41,41.06
27,ORD00027,21-05-2024,22-05-2024,John Cunningham,Corporate,Delhi,Fashion,Arm Fashion,7390.2,10,0.48,1186.33
28,ORD00028,15-03-2026,18-03-2026,Carla Singleton,Corporate,Chennai,Fashion,Federal Electronics,9766.57,6,0.01,3061.86
29,ORD00029,27-09-2024,30-09-2024,Derek Ochoa,Corporate,Pune,Grocery,Sea Fashion,808.7,6,0.23,161.08
30,ORD00030,18-06-2025,24-06-2025,Danielle Williams,Home Office,Bangalore,Beauty,Follow Electronics,4572.95,8,0.24,605.72
31,ORD00031,26-07-2024,31-07-2024,Cesar Ware,Home Office,Delhi,Fashion,Poor Beauty,6947.43,7,0.02,541.98
32,ORD00032,18-02-2026,19-02-2026,Phillip Yates,Consumer,Hyderabad,Electronics,Heart Fashion,1054.29,10,0.06,129.65
33,ORD00033,10-09-2024,16-09-2024,Melissa Cohen,Home Office,Hyderabad,Beauty,Treatment Electronics,7933.62,2,0.19,1879.18
34,ORD00034,06-08-2024,12-08-2024,Clinton Lang,Consumer,Pune,Beauty,Control Furniture,6464.67,5,0.19,-810.57
35,ORD00035,18-04-2026,25-04-2026,Bethany Garner,Home Office,Mumbai,Beauty,Important Furniture,448.23,6,0.4,96.59
36,ORD00036,25-08-2024,30-08-2024,Mr. Gregory Gonzalez,Consumer,Pune,Electronics,Customer Grocery,3935.57,10,0.4,-680.87
37,ORD00037,15-12-2025,19-12-2025,Rachael Hunter,Home Office,Chennai,Beauty,Early Fashion,5851.42,10,0.22,-175.58
38,ORD00038,20-02-2026,25-02-2026,Patty Roberts,Corporate,Chennai,Electronics,Everything Beauty,8429.9,1,0.29,-1634.99
39,ORD00039,10-10-2024,11-10-2024,Ryan Burke,Corporate,Pune,Fashion,Season Grocery,5284.43,7,0.37,-658.48
40,ORD00040,27-08-2025,02-09-2025,Erika Johnson,Corporate,Bangalore,Fashion,Operation Grocery,775.6,5,0.38,78.4
41,ORD00041,17-04-2025,22-04-2025,Miss Julie Oliver,Corporate,Delhi,Furniture,Level Grocery,7601.18,10,0.07,1115.3
42,ORD00042,13-05-2024,17-05-2024,Jessica Martin,Corporate,Pune,Fashion,Catch Fashion,9223.07,2,0.1,907.95
43,ORD00043,16-09-2025,18-09-2025,Teresa Campbell,Consumer,Mumbai,Beauty,Year Furniture,6140.93,6,0.08,1258.76
44,ORD00044,10-06-2025,15-06-2025,Mr. Todd Wise,Home Office,Hyderabad,Grocery,Raise Electronics,4451.67,6,0.09,958.59
45,ORD00045,03-07-2024,09-07-2024,Nathan Harrison,Corporate,Chennai,Electronics,Stock Furniture,2316.14,2,0.4,275.62
46,ORD00046,10-06-2024,17-06-2024,Mary Payne,Home Office,Pune,Electronics,Trial Grocery,2895.07,6,0.3,-410.78
47,ORD00047,12-08-2025,15-08-2025,Stacey Miller,Corporate,Bangalore,Furniture,Bill Grocery,9770.29,3,0.31,-780.72
48,ORD00048,12-05-2024,19-05-2024,George Wilson,Consumer,Delhi,Grocery,Choose Furniture,2522.36,6,0.22,10.88
49,ORD00049,13-07-2025,14-07-2025,John Bell,Consumer,Delhi,Fashion,Special Furniture,2923.69,6,0.35,966.3
50,ORD00050,19-11-2025,25-11-2025,William Hall,Home Office,Hyderabad,Grocery,Machine Electronics,1093.23,4,0.18,-197.71
51,ORD00051,09-07-2025,13-07-2025,Candice Schwartz,Corporate,Pune,Grocery,Pretty Fashion,5211.55,1,0.02,678.51
52,ORD00052,17-04-2025,23-04-2025,Carol Taylor,Home Office,Chennai,Furniture,Play Electronics,4358.81,10,0.09,81.04
53,ORD00053,11-07-2025,12-07-2025,Christopher Drake,Corporate,Hyderabad,Electronics,These Fashion,6500.53,3,0.18,-958.85
54,ORD00054,13-10-2024,17-10-2024,Brittany Adams,Corporate,Delhi,Electronics,Necessary Grocery,1778.79,6,0.44,489.2
55,ORD00055,18-02-2026,19-02-2026,Casey Hodges,Consumer,Bangalore,Furniture,Another Fashion,1244.05,6,0.21,240.25
56,ORD00056,27-03-2026,01-04-2026,James Madden,Consumer,Bangalore,Beauty,Lot Furniture,6847.37,1,0.46,-605.42
57,ORD00057,22-08-2024,25-08-2024,Regina Burns,Home Office,Delhi,Furniture,Accept Grocery,3823.48,1,0.24,-645.72
58,ORD00058,13-03-2025,15-03-2025,Curtis Thompson,Corporate,Pune,Furniture,Reveal Fashion,8253.59,9,0.28,-1441.78
59,ORD00059,17-04-2026,18-04-2026,Michelle Allen,Consumer,Delhi,Furniture,Low Beauty,105.7,3,0.03,31.23
60,ORD00060,08-08-2025,11-08-2025,Ronald Dean,Home Office,Delhi,Furniture,Who Electronics,9310.14,5,0.28,1826.22
61,ORD00061,06-02-2026,08-02-2026,Marissa Austin,Consumer,Delhi,Electronics,Enough Fashion,6994.71,5,0.13,1459
62,ORD00062,10-07-2025,16-07-2025,William Ingram,Corporate,Chennai,Fashion,Drive Beauty,5454.97,4,0.09,-825.71
63,ORD00063,14-01-2025,15-01-2025,Eric Martinez,Consumer,Delhi,Furniture,State Furniture,6015.12,5,0.21,1114.09
64,ORD00064,25-09-2024,29-09-2024,Ashley Simpson,Home Office,Mumbai,Grocery,Learn Electronics,4965.82,8,0.3,595.26
65,ORD00065,18-09-2025,25-09-2025,Kendra Hernandez,Home Office,Hyderabad,Electronics,Second Furniture,6793.21,2,0.43,939.03
66,ORD00066,25-03-2025,28-03-2025,Brent Krueger,Corporate,Chennai,Beauty,Pay Beauty,4664.75,1,0.1,-903.27
67,ORD00067,16-01-2025,21-01-2025,Kevin Yang,Consumer,Hyderabad,Furniture,Various Grocery,9341.9,2,0.36,2053.64
68,ORD00068,03-12-2025,10-12-2025,Dennis Martinez,Consumer,Chennai,Electronics,Must Grocery,1896.29,7,0.39,353.39
69,ORD00069,19-12-2025,22-12-2025,Mr. Ronnie Garner,Corporate,Chennai,Beauty,Hold Furniture,9327.29,2,0.3,318.74
70,ORD00070,14-09-2024,17-09-2024,Jacqueline Galvan,Consumer,Pune,Beauty,Image Furniture,3302.28,9,0.08,-462.11
71,ORD00071,14-02-2025,15-02-2025,Cynthia Perkins,Corporate,Bangalore,Beauty,Decade Electronics,2279.22,4,0.41,378.18
72,ORD00072,10-09-2025,16-09-2025,Lisa Ochoa,Corporate,Mumbai,Electronics,Road Beauty,7476.97,6,0.29,1216.55
73,ORD00073,25-01-2025,30-01-2025,Erika Olsen,Home Office,Pune,Beauty,Mrs Grocery,1716.56,10,0,252.28
74,ORD00074,27-03-2025,28-03-2025,Robert Mccullough,Home Office,Hyderabad,Furniture,Once Electronics,4880.97,6,0.32,-515.13
75,ORD00075,12-10-2024,18-10-2024,Richard Bolton,Home Office,Delhi,Fashion,Something Fashion,492.23,7,0.31,130.97
76,ORD00076,22-02-2025,24-02-2025,Emily Adams,Home Office,Chennai,Fashion,Win Electronics,9774.7,6,0.39,-979.33
77,ORD00077,06-04-2026,13-04-2026,Michael Ashley,Consumer,Chennai,Fashion,Brother Furniture,2754.9,3,0.05,-422.52
78,ORD00078,16-12-2025,17-12-2025,Francisco Rush,Corporate,Pune,Grocery,Already Fashion,4718.31,10,0.29,-603.01
